Saved configuration to: runs/scoutv2_brain_neuromod_critic_code_auxhi_seed1_20260707-014936/config.txt
Training Brain on cuda for 4 RL episodes
  Inner: 800000 timesteps, regime switch every 100000 steps
  Parallel Envs: 4
  Brain vectorization: async
  Async worker CPU threads: 1
  Decision interval: 10 inner updates

--- Starting Meta-RL PPO Training (Target: 4) ---
update 530/781 | step=542720 | SPS=639
update 530/781 | step=542720 | SPS=639
update 540/781 | step=552960 | SPS=639
update 540/781 | step=552960 | SPS=639
update 540/781 | step=552960 | SPS=639
update 540/781 | step=552960 | SPS=639
update 550/781 | step=563200 | SPS=639
update 550/781 | step=563200 | SPS=639
update 550/781 | step=563200 | SPS=639
update 550/781 | step=563200 | SPS=639
update 560/781 | step=573440 | SPS=639
update 560/781 | step=573440 | SPS=639
update 560/781 | step=573440 | SPS=639
update 560/781 | step=573440 | SPS=639
update 570/781 | step=583680 | SPS=639
update 570/781 | step=583680 | SPS=639
update 570/781 | step=583680 | SPS=639
update 570/781 | step=583680 | SPS=639
update 580/781 | step=593920 | SPS=639
update 580/781 | step=593920 | SPS=639
update 580/781 | step=593920 | SPS=639
update 580/781 | step=593920 | SPS=639
[600008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[600008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[600008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[600008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
update 590/781 | step=604160 | SPS=639
update 590/781 | step=604160 | SPS=639
update 590/781 | step=604160 | SPS=639
update 590/781 | step=604160 | SPS=639
update 600/781 | step=614400 | SPS=639
update 600/781 | step=614400 | SPS=639
update 600/781 | step=614400 | SPS=639
update 600/781 | step=614400 | SPS=639
update 610/781 | step=624640 | SPS=639
update 610/781 | step=624640 | SPS=639
update 610/781 | step=624640 | SPS=639
update 610/781 | step=624640 | SPS=639
update 620/781 | step=634880 | SPS=639
update 620/781 | step=634880 | SPS=639
update 620/781 | step=634880 | SPS=639
update 620/781 | step=634880 | SPS=639
update 630/781 | step=645120 | SPS=639
update 630/781 | step=645120 | SPS=639
update 630/781 | step=645120 | SPS=639
update 630/781 | step=645120 | SPS=638
update 640/781 | step=655360 | SPS=639
update 640/781 | step=655360 | SPS=639
update 640/781 | step=655360 | SPS=639
update 640/781 | step=655360 | SPS=639
update 650/781 | step=665600 | SPS=639
update 650/781 | step=665600 | SPS=639
update 650/781 | step=665600 | SPS=639
update 650/781 | step=665600 | SPS=638
update 660/781 | step=675840 | SPS=639
update 660/781 | step=675840 | SPS=639
update 660/781 | step=675840 | SPS=639
update 660/781 | step=675840 | SPS=638
update 670/781 | step=686080 | SPS=639
update 670/781 | step=686080 | SPS=639
update 670/781 | step=686080 | SPS=638
update 670/781 | step=686080 | SPS=638
update 680/781 | step=696320 | SPS=638
update 680/781 | step=696320 | SPS=638
update 680/781 | step=696320 | SPS=638
update 680/781 | step=696320 | SPS=638
[700008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[700008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[700008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[700008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 690/781 | step=706560 | SPS=639
update 690/781 | step=706560 | SPS=638
update 690/781 | step=706560 | SPS=638
update 690/781 | step=706560 | SPS=638
update 700/781 | step=716800 | SPS=638
update 700/781 | step=716800 | SPS=638
update 700/781 | step=716800 | SPS=638
update 700/781 | step=716800 | SPS=638
update 710/781 | step=727040 | SPS=638
update 710/781 | step=727040 | SPS=638
update 710/781 | step=727040 | SPS=638
update 710/781 | step=727040 | SPS=638
update 720/781 | step=737280 | SPS=638
update 720/781 | step=737280 | SPS=638
update 720/781 | step=737280 | SPS=638
update 720/781 | step=737280 | SPS=638
update 730/781 | step=747520 | SPS=638
update 730/781 | step=747520 | SPS=638
update 730/781 | step=747520 | SPS=638
update 730/781 | step=747520 | SPS=638
update 740/781 | step=757760 | SPS=638
update 740/781 | step=757760 | SPS=638
update 740/781 | step=757760 | SPS=638
update 740/781 | step=757760 | SPS=638
update 750/781 | step=768000 | SPS=638
update 750/781 | step=768000 | SPS=638
update 750/781 | step=768000 | SPS=638
update 750/781 | step=768000 | SPS=638
update 760/781 | step=778240 | SPS=638
update 760/781 | step=778240 | SPS=638
update 760/781 | step=778240 | SPS=638
update 760/781 | step=778240 | SPS=638
update 770/781 | step=788480 | SPS=638
update 770/781 | step=788480 | SPS=638
update 770/781 | step=788480 | SPS=638
update 770/781 | step=788480 | SPS=638
update 780/781 | step=798720 | SPS=638
update 780/781 | step=798720 | SPS=638
update 780/781 | step=798720 | SPS=638
update 780/781 | step=798720 | SPS=638
update 781/781 | step=799744 | SPS=638
update 781/781 | step=799744 | SPS=638
update 781/781 | step=799744 | SPS=638
update 781/781 | step=799744 | SPS=638
Episode 1/4 | reward=-24.9138 | avg10=-24.9138 | avg_success_rate=0.8900 | steps=78 | time=1259.8s
update 10/781 | step=10240 | SPS=719
update 10/781 | step=10240 | SPS=707
update 10/781 | step=10240 | SPS=705
update 10/781 | step=10240 | SPS=692
update 20/781 | step=20480 | SPS=678
update 20/781 | step=20480 | SPS=679
update 20/781 | step=20480 | SPS=669
update 20/781 | step=20480 | SPS=671
update 30/781 | step=30720 | SPS=669
update 30/781 | step=30720 | SPS=670
update 30/781 | step=30720 | SPS=662
update 30/781 | step=30720 | SPS=659
update 40/781 | step=40960 | SPS=659
update 40/781 | step=40960 | SPS=659
update 40/781 | step=40960 | SPS=656
update 40/781 | step=40960 | SPS=651
update 50/781 | step=51200 | SPS=652
update 50/781 | step=51200 | SPS=651
update 50/781 | step=51200 | SPS=650
update 50/781 | step=51200 | SPS=649
update 60/781 | step=61440 | SPS=649
update 60/781 | step=61440 | SPS=650
update 60/781 | step=61440 | SPS=649
update 60/781 | step=61440 | SPS=647
update 70/781 | step=71680 | SPS=648
update 70/781 | step=71680 | SPS=649
update 70/781 | step=71680 | SPS=646
update 70/781 | step=71680 | SPS=646
update 80/781 | step=81920 | SPS=648
update 80/781 | step=81920 | SPS=648
update 80/781 | step=81920 | SPS=647
update 80/781 | step=81920 | SPS=645
update 90/781 | step=92160 | SPS=647
update 90/781 | step=92160 | SPS=647
update 90/781 | step=92160 | SPS=644
update 90/781 | step=92160 | SPS=645
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 100/781 | step=102400 | SPS=646
update 100/781 | step=102400 | SPS=646
update 100/781 | step=102400 | SPS=644
update 100/781 | step=102400 | SPS=643
update 110/781 | step=112640 | SPS=646
update 110/781 | step=112640 | SPS=645
update 110/781 | step=112640 | SPS=644
update 110/781 | step=112640 | SPS=643
update 120/781 | step=122880 | SPS=646
update 120/781 | step=122880 | SPS=645
update 120/781 | step=122880 | SPS=644
update 120/781 | step=122880 | SPS=644
update 130/781 | step=133120 | SPS=646
update 130/781 | step=133120 | SPS=645
update 130/781 | step=133120 | SPS=644
update 130/781 | step=133120 | SPS=643
update 140/781 | step=143360 | SPS=645
update 140/781 | step=143360 | SPS=645
update 140/781 | step=143360 | SPS=643
update 140/781 | step=143360 | SPS=643
update 150/781 | step=153600 | SPS=645
update 150/781 | step=153600 | SPS=644
update 150/781 | step=153600 | SPS=644
update 150/781 | step=153600 | SPS=643
update 160/781 | step=163840 | SPS=643
update 160/781 | step=163840 | SPS=643
update 160/781 | step=163840 | SPS=643
update 160/781 | step=163840 | SPS=642
update 170/781 | step=174080 | SPS=643
update 170/781 | step=174080 | SPS=642
update 170/781 | step=174080 | SPS=642
update 170/781 | step=174080 | SPS=642
update 180/781 | step=184320 | SPS=643
update 180/781 | step=184320 | SPS=642
update 180/781 | step=184320 | SPS=642
update 180/781 | step=184320 | SPS=641
update 190/781 | step=194560 | SPS=642
update 190/781 | step=194560 | SPS=641
update 190/781 | step=194560 | SPS=641
update 190/781 | step=194560 | SPS=641
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
update 200/781 | step=204800 | SPS=643
update 200/781 | step=204800 | SPS=642
update 200/781 | step=204800 | SPS=641
update 200/781 | step=204800 | SPS=641
update 210/781 | step=215040 | SPS=642
update 210/781 | step=215040 | SPS=642
update 210/781 | step=215040 | SPS=641
update 210/781 | step=215040 | SPS=641
update 220/781 | step=225280 | SPS=641
update 220/781 | step=225280 | SPS=641
update 220/781 | step=225280 | SPS=640
update 220/781 | step=225280 | SPS=640
update 230/781 | step=235520 | SPS=640
update 230/781 | step=235520 | SPS=640
update 230/781 | step=235520 | SPS=640
update 230/781 | step=235520 | SPS=640
update 240/781 | step=245760 | SPS=641
update 240/781 | step=245760 | SPS=641
update 240/781 | step=245760 | SPS=640
update 240/781 | step=245760 | SPS=640
update 250/781 | step=256000 | SPS=642
update 250/781 | step=256000 | SPS=641
update 250/781 | step=256000 | SPS=641
update 250/781 | step=256000 | SPS=640
update 260/781 | step=266240 | SPS=640
update 260/781 | step=266240 | SPS=640
update 260/781 | step=266240 | SPS=640
update 260/781 | step=266240 | SPS=639
update 270/781 | step=276480 | SPS=640
update 270/781 | step=276480 | SPS=640
update 270/781 | step=276480 | SPS=639
update 270/781 | step=276480 | SPS=639
update 280/781 | step=286720 | SPS=640
update 280/781 | step=286720 | SPS=640
update 280/781 | step=286720 | SPS=639
update 280/781 | step=286720 | SPS=639
update 290/781 | step=296960 | SPS=640
update 290/781 | step=296960 | SPS=640
update 290/781 | step=296960 | SPS=639
update 290/781 | step=296960 | SPS=639
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
